Designator;Description;Quantity;Manufacturer;Manufacturer Part Number;Unit Price;Lead Time (days);DNP
R1, R2, R3, R4;Resistor 10k 1% 0603;4;Yageo;RC0603FR-0710KL;$0.02;7;
C1, C2, C3;Capacitor 100nF X7R 0603;3;Murata;GRM188R71C104KA01D;$0.04;7;
C4;Capacitor 10uF X5R 0805;1;Samsung;CL21A106KAYNNNE;$0.11;14;
U1;ARM Cortex-M4 MCU 84MHz;1;STMicroelectronics;STM32F401RET6;$8.42;126;
U2;Environmental sensor (temp/humidity/pressure);1;Bosch;BME280;$4.10;98;
U3;3.3V LDO regulator 500mA;1;Texas Instruments;TLV70233DBVR;$0.38;21;
J1;USB-C receptacle 16-pin;1;Amphenol;12401598E4#2A;$1.15;21;
Y1;Crystal 8MHz 20pF;1;Abracon;ABM8-8.000MHZ-B2-T;$0.42;35;
D1;LED green 0603;1;Wurth;150060GS75000;$0.09;7;
SW1;Tactile switch 6mm;1;Omron;B3F-1000;$0.21;14;
TP1;Test point - not fitted;1;;;$0.00;0;Yes
